Star,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7
0,608.1906863876388,245.89322696192193,536.0288540670224,391.0777305132058,218.91736241921694,633.8559262258617,651.3730201269235,628.9549281307987
1,999.3932862199539,713.6721314229945,645.8810787175464,1051.0959329701916,687.7984036191962,812.0820684224078,904.5495719230165,1029.1021328050017
2,187.00334766938343,791.4370444917215,547.9724293797302,173.41562300672993,408.1657700620698,520.4976186797095,820.1862327880424,550.2414443930086
3,553.3957331935192,1133.697404386782,1104.732257870595,431.64061170718344,144.37887780605482,534.5565173560665,1169.753772255657,355.2300798762994
4,486.0860757725023,300.26334081829947,626.0889707525587,681.4767576248961,765.2585356969474,915.8389540095195,400.46859840661267,1009.2686845179293
5,763.0788701775678,757.630365300241,572.839688077854,299.3218665018053,622.2091235906053,552.7271567882169,382.0701442604639,822.1466712580564
6,579.2988231472287,533.1081342087316,637.7421705419792,327.1171299127475,584.858471831236,952.6757777106266,1087.3321267447845,545.9241312616792
7,1152.1241847883607,722.0601614472814,180.00953310979293,683.667704826671,985.0792145486101,755.0014313116131,758.2325216998034,1051.5647269803865
8,861.4928808063542,610.8364339429613,708.3434377472198,532.6607206987898,266.35852433210323,1093.1617707088242,654.8517494936684,700.1653263387299
9,619.2285724582787,292.2198304238449,429.1364850674192,220.9170281227254,873.2311760322997,854.8878667945487,725.9911231777162,527.9985468497541
10,469.5033722546099,833.9895210963391,400.6817818913325,765.9325316621274,633.0042755849357,296.4093154803434,853.070417757665,791.1153716682935
11,865.4336429922203,328.2746989727254,1031.8822013766228,285.9566008309665,512.1416157590313,810.014701691675,330.42007609252823,521.3102932899054
12,575.1998710826273,1027.625748329989,214.94413469372978,555.539263372456,684.9863905029468,850.9922400092382,765.8718877180705,722.1813759368849
13,650.4240977939803,743.7050224500639,491.67263125579325,152.75328434529368,606.4953038903342,600.7196830534215,645.9697118304134,712.7496600832508
14,875.7049267508228,1004.9246683460012,494.043059232348,616.819336047268,172.68847390420657,640.4874820210059,1073.5212554202924,1009.4681832907731
15,1176.9805312713718,1291.67964385254,1150.6648452403358,366.8078669719466,860.7410804998252,394.27939595400903,351.6504647092083,538.6042879264791
16,404.07136334800975,514.1933350854074,149.0620588726252,702.4106165119887,565.7113841640203,667.0841365083585,485.8930653317552,561.447805178548
17,640.59756605563,516.291801994064,1025.9110946950434,708.3904470805426,786.4296423754931,296.51825709062723,540.18000206092,649.6401316499395
18,239.04222563780127,705.6578520731248,671.1109718765512,701.0612704422168,494.60633439537406,476.4918305942518,618.1983109985945,239.7466964710188
19,500.0747826883927,659.4810900962216,453.0312343773305,540.8337552937968,217.0169978797308,723.1036318858095,427.9681627418625,757.7494522641169
20,1298.410794959503,395.03094366177396,675.3546050636213,533.5713304074915,551.4488717546392,574.5681363829616,802.6249143644861,1016.7836741183283
21,672.6706113449562,565.9624922152036,702.6894092039522,465.6188299672601,117.497462748901,630.902313951579,715.1019761641448,527.6570389028818
22,639.7295791332027,843.0556537676541,427.0810122732628,753.7103284875482,834.0217309832256,847.3216591824668,1093.9678573067213,883.2944968457831
23,478.61492220366995,416.81750109187317,245.510586010312,356.5142516740582,1087.9519644038157,750.6784342319396,448.0275459688025,477.31277547166866
24,891.0201328165693,542.6727550389304,689.1955976655815,201.40398760183058,375.96408873246054,726.6518846797946,1174.188563042165,550.0414160751723
